image,sigma,NRMSE,PSNR
0000.png,12.75,0.009738047,40.230562763160904
0001.png,12.75,0.024673348,32.1554382874545
0002.png,12.75,0.020222668,33.88323069036169
0003.png,12.75,0.027010413,31.36937542972835
0004.png,12.75,0.027024688,31.364786337982245
0005.png,12.75,0.024537645,32.20334268896056
0006.png,12.75,0.021893952,33.19351716010147
0007.png,12.75,0.03928762,28.114885585366295
0008.png,12.75,0.033007644,29.627709291708832
0009.png,12.75,0.022708312,32.876303064700934
0010.png,12.75,0.024954276,32.05710009783378
0011.png,12.75,0.021130398,33.501846588750794
0012.png,12.75,0.028356753,30.94686963330672
0013.png,12.75,0.013777604,37.216526114355965
0014.png,12.75,0.02625734,31.614986077603227
0015.png,12.75,0.030136015,30.41828344529618
0016.png,12.75,0.023351017,32.63388402440167
0017.png,12.75,0.017103456,35.33832359428734
0018.png,12.75,0.022545066,32.938969547532295
0019.png,12.75,0.024576738,32.18951494862152
0020.png,12.75,0.019608945,34.150915596794476
0021.png,12.75,0.028579036,30.879048940620915
0022.png,12.75,0.028011596,31.053243517078318
0023.png,12.75,0.017770587,35.00596533043409
0024.png,12.75,0.027975233,31.064525348508077
0025.png,12.75,0.021374777,33.401968308144184
0026.png,12.75,0.033598684,29.473554941375532
0027.png,12.75,0.031422548,30.055171614696174
0028.png,12.75,0.026228895,31.624400284337707
0029.png,12.75,0.024876816,32.08410378846984
0030.png,12.75,0.026990552,31.37576448251898
0031.png,12.75,0.020533698,33.75065678746405
0032.png,12.75,0.016463667,35.66946810633423
0033.png,12.75,0.036411658,28.775190323173785
0034.png,12.75,0.01880893,34.51271857488154
0035.png,12.75,0.039326217,28.106357212660082
0036.png,12.75,0.031088639,30.147966187012123
0037.png,12.75,0.026008675,31.697635678631425
0038.png,12.75,0.016890626,35.4470843550721
0039.png,12.75,0.03220601,29.841261405986668
0040.png,12.75,0.023495268,32.580391962844715
0041.png,12.75,0.022410242,32.9910695949234
0042.png,12.75,0.01586843,35.98932115712975
0043.png,12.75,0.025594054,31.837218661577914
0044.png,12.75,0.02360815,32.53876110779786
0045.png,12.75,0.016815979,35.48555679485234
0046.png,12.75,0.028955393,30.765410896759377
0047.png,12.75,0.01999491,33.98161054100622
0048.png,12.75,0.03193565,29.91448482213496
0049.png,12.75,0.03086174,30.211592544006503
0050.png,12.75,0.0176056,35.08698330462585
0051.png,12.75,0.030868268,30.209754773215145
0052.png,12.75,0.02513367,31.994882289852036
0053.png,12.75,0.017207438,35.285676253060466
0054.png,12.75,0.021012245,33.55055129373375
0055.png,12.75,0.025251102,31.954393051031488
0056.png,12.75,0.026526423,31.526426023649666
0057.png,12.75,0.04023999,27.90684285781872
0058.png,12.75,0.024475459,32.22538353863897
0059.png,12.75,0.019205527,34.33147546532172
0060.png,12.75,0.020877957,33.60624021593742
0061.png,12.75,0.018764904,34.53307296880635
0062.png,12.75,0.020706411,33.677902787281376
0063.png,12.75,0.016084325,35.87194281963597
0064.png,12.75,0.02759374,31.18378876795208
0065.png,12.75,0.03279322,29.684317890186215
0066.png,12.75,0.026025347,31.69206952544645
0067.png,12.75,0.03341744,29.52053616328236
0000.png,25.5,0.01567644,36.09505108647891
0001.png,25.5,0.0364439,28.767502797874794
0002.png,25.5,0.02839805,30.93422933524469
0003.png,25.5,0.041111685,27.720693653000957
0004.png,25.5,0.039504193,28.06713638902235
0005.png,25.5,0.035592776,28.972763128115968
0006.png,25.5,0.035005957,29.117160621401155
0007.png,25.5,0.06322616,23.982063702750025
0008.png,25.5,0.04789859,26.393544879267775
0009.png,25.5,0.03494593,29.13206745417057
0010.png,25.5,0.039910194,27.978323050007514
