image,sigma,sparsity,NRMSE,PSNR
0000.png,12.75,4,0.0175675139923151,35.10579383760474
0000.png,25.5,3,0.0296365202861158,30.56345579067843
0000.png,51.0,2,0.0510547232829732,25.839281466902086
0001.png,12.75,4,0.027909817125719,31.084860182840263
0001.png,25.5,3,0.0408932812786282,27.76696080479607
0001.png,51.0,2,0.0601645224077167,24.41319052848188
0010.png,12.75,4,0.0439787686677987,27.13513868652892
0010.png,25.5,3,0.0547690198851596,25.22930061771256
0010.png,51.0,2,0.0765364982782375,22.32262823267398
0011.png,12.75,4,0.0281372892177558,31.014354907377765
0011.png,25.5,3,0.0410865048923836,27.72601602631357
0011.png,51.0,2,0.0609614794950862,24.29889002997184
0012.png,12.75,4,0.0389565913503499,28.188381006349204
0012.png,25.5,3,0.0504266406264976,25.94679926302031
0012.png,51.0,2,0.0735549401940284,22.66776306594722
0013.png,12.75,4,0.0201984516497233,33.893638418744885
0013.png,25.5,3,0.0334752766741839,29.505516496879302
0013.png,51.0,2,0.0593486479567148,24.53178340836688
0014.png,12.75,4,0.0365296631869328,28.747086641571062
0014.png,25.5,3,0.0493388900386464,26.136212498430808
0014.png,51.0,2,0.0702156509189664,23.07132147530785
0015.png,12.75,4,0.0431065052289828,27.30914370496873
0015.png,25.5,3,0.0551663232021505,25.16651921017968
0015.png,51.0,2,0.0759712645820716,22.387012889462085
0016.png,12.75,4,0.029366488157766,30.64295972456282
0016.png,25.5,3,0.0422213983547693,27.489347742830034
0016.png,51.0,2,0.0650754314681393,23.731658874328943
0017.png,12.75,4,0.0219636513899038,33.165909161794296
0017.png,25.5,3,0.035314468101201,29.040946612242085
0017.png,51.0,2,0.0538041399766189,25.383686122424493
0018.png,12.75,4,0.0303648521943404,30.35257657064957
0018.png,25.5,3,0.0426750662119342,27.396515927777003
0018.png,51.0,2,0.0672751485393676,23.44290669335581
0019.png,12.75,4,0.027694450911778,31.1521448207441
0019.png,25.5,3,0.0405298799861589,27.844493645090186
0019.png,51.0,2,0.0617541979814685,24.18667028421052
0002.png,12.75,4,0.023906348705894,32.42973500045591
0002.png,25.5,3,0.0368517021590772,28.67084895055079
0002.png,51.0,2,0.0590173026142206,24.5804128762298
0020.png,12.75,4,0.0259716362842206,31.71001375533727
0020.png,25.5,3,0.0388050481203608,28.22223547357536
0020.png,51.0,2,0.057126473917136,24.86325163137101
0021.png,12.75,4,0.0412542141770786,27.69063362088992
0021.png,25.5,3,0.0530768382406807,25.50189911461591
0021.png,51.0,2,0.0741040205436819,22.603164571164648
0022.png,12.75,4,0.0447640158528826,26.981419182590734
0022.png,25.5,3,0.0564398071095944,24.968289583464312
0022.png,51.0,2,0.0817562794521326,21.749577610863856
0023.png,12.75,4,0.0227787433054054,32.84940478914424
0023.png,25.5,3,0.0354324668629131,29.011972207270635
0023.png,51.0,2,0.0558359859737466,25.061716210316817
0024.png,12.75,4,0.042164558028123,27.501048952369388
0024.png,25.5,3,0.0520344398088137,25.67418233189453
0024.png,51.0,2,0.0715737742628574,22.90492161511379
0025.png,12.75,4,0.0397074637280825,28.02255704294588
0025.png,25.5,3,0.0489919095062566,26.19751266346817
0025.png,51.0,2,0.0677290431498634,23.384501197947984
0026.png,12.75,4,0.0584149092727577,24.66952586990729
