image,sigma,MSE,NMSE,PSNR
0000.png,0.05,0.0005944061402211667,0.0005944061402211667,32.259167129581186
0000.png,0.1,0.006002155467732493,0.006002155467732493,22.21692759676929
0000.png,0.2,0.035973484157452246,0.035973484157452246,14.440174972085591
0001.png,0.05,0.001901194315521563,0.001901194315521563,27.209734928946933
0001.png,0.1,0.006814589566915958,0.006814589566915958,21.66560295983573
0001.png,0.2,0.03254562686306384,0.03254562686306384,14.875073590722387
0002.png,0.05,0.0012380381219874532,0.0012380381219874532,29.072659822029067
0002.png,0.1,0.005665236400105142,0.005665236400105142,22.46781963096419
0002.png,0.2,0.029701942207621235,0.029701942207621235,15.27215151272884
0003.png,0.05,0.0022678864515067844,0.0022678864515067844,26.443786934821844
0003.png,0.1,0.006878716821543259,0.006878716821543259,21.624925689298955
0003.png,0.2,0.03168142209264529,0.03168142209264529,14.991953323499985
0004.png,0.05,0.0020990804317380825,0.0020990804317380825,26.779709199736867
0004.png,0.1,0.0069946220281927474,0.0069946220281927474,21.552357487211573
0004.png,0.2,0.032320933373611756,0.032320933373611756,14.905161060299996
0005.png,0.05,0.0018887342060844865,0.0018887342060844865,27.23829154281791
0005.png,0.1,0.006479434234870683,0.006479434234870683,21.884629137900056
0005.png,0.2,0.03214254628893531,0.03214254628893531,14.929197219898729
0006.png,0.05,0.0021566898687637053,0.0021566898687637053,26.66212301799721
0006.png,0.1,0.005930199900847988,0.005930199900847988,22.26930666775374
0006.png,0.2,0.02751507007394633,0.02751507007394633,15.60429376812866
0007.png,0.05,0.003515858404414484,0.003515858404414484,24.539686237631475
0007.png,0.1,0.008667995688885714,0.008667995688885714,20.620813133528667
0007.png,0.2,0.03273420112166229,0.03273420112166229,14.849982535715977
0008.png,0.05,0.00283492497564918,0.00283492497564918,25.47458429925468
0008.png,0.1,0.007131439122573032,0.007131439122573032,21.468228207897493
0008.png,0.2,0.028741346948522345,0.028741346948522345,15.414928827361274
0009.png,0.05,0.0021693136331338387,0.0021693136331338387,26.636776543977337
0009.png,0.1,0.005180497377524075,0.005180497377524075,22.856285418099098
0009.png,0.2,0.02444808003783464,0.02444808003783464,16.1175524131395
0010.png,0.05,0.0023677700762957696,0.0023677700762957696,26.256604723224577
0010.png,0.1,0.00727927198697233,0.00727927198697233,21.379120530840247
0010.png,0.2,0.032179974686436144,0.032179974686436144,14.924143018636338
0011.png,0.05,0.0018326942705732471,0.0018326942705732471,27.369099778513416
0011.png,0.1,0.00700570301506411,0.00700570301506411,21.5454827718856
0011.png,0.2,0.03386838815132919,0.03386838815132919,14.702054716057557
0012.png,0.05,0.002326353605079339,0.002326353605079339,26.333242719536855
0012.png,0.1,0.00683183207964121,0.00683183207964121,21.65462816760131
0012.png,0.2,0.031088833148007786,0.031088833148007786,15.073955779533124
0013.png,0.05,0.0008850069909493079,0.0008850069909493079,30.530532986595578
0013.png,0.1,0.0047577608238960675,0.0047577608238960675,23.22597394050114
0013.png,0.2,0.027609356655837976,0.027609356655837976,15.589437130302318
0014.png,0.05,0.002265974636393734,0.002265974636393734,26.44744955609378
0014.png,0.1,0.0071610771289416,0.0071610771289416,21.4502164864569
0014.png,0.2,0.031137226571438567,0.031137226571438567,15.067200731539296
0015.png,0.05,0.0027438222925534952,0.0027438222925534952,25.616440197373723
0015.png,0.1,0.007498214763217392,0.007498214763217392,21.250421247114147
0015.png,0.2,0.029793055740471842,0.029793055740471842,15.258849508579399
0016.png,0.05,0.0018274199712392557,0.0018274199712392557,27.38161633144501
0016.png,0.1,0.006235037486052383,0.006235037486052383,22.051609311290218
0016.png,0.2,0.028502030572453426,0.028502030572453426,15.451241984126323
0017.png,0.05,0.0010931708390354289,0.0010931708390354289,29.61311961881421
0017.png,0.1,0.006434459029496081,0.006434459029496081,21.914879600852572
0017.png,0.2,0.03333517672557203,0.03333517672557203,14.770972381314188
0018.png,0.05,0.0017534381689623963,0.0017534381689623963,27.561095439266982
0018.png,0.1,0.00571096129221467,0.00571096129221467,22.43290783388817
0018.png,0.2,0.027361500204209296,0.027361500204209296,15.628600943587887
0019.png,0.05,0.00182428829144925,0.00182428829144925,27.38906529224625
0019.png,0.1,0.007145385545908122,0.007145385545908122,21.45974332871189
0019.png,0.2,0.03413659125116789,0.03413659125116789,14.66779848034381
0020.png,0.05,0.0013681476754524996,0.0013681476754524996,28.638670231036812
0020.png,0.1,0.006734765017326176,0.006734765017326176,21.71677552644619
0020.png,0.2,0.03466833621638034,0.03466833621638034,14.600670002640953
0021.png,0.05,0.0026656785954940485,0.0026656785954940485,25.74192215243984
0021.png,0.1,0.007246323521101133,0.007246323521101133,21.398822802528375
0021.png,0.2,0.0300052098654846,0.0300052098654846,15.22803331300712
0022.png,0.05,0.002692393349880265,0.002692393349880265,25.698614908065235
0022.png,0.1,0.007881671123674511,0.007881671123674511,21.033816907788708
0022.png,0.2,0.03196575475338134,0.03196575475338134,14.953150368469174
0023.png,0.05,0.0009200380154474439,0.0009200380154474439,30.36194227482752
0023.png,0.1,0.006205711796814975,0.006205711796814975,22.072083976141332
0023.png,0.2,0.03366320249598204,0.03366320249598204,14.728445704702906
0024.png,0.05,0.002230092424184962,0.002230092424184962,26.516771376326723
0024.png,0.1,0.007305097256519599,0.007305097256519599,21.363739977052326
0024.png,0.2,0.034178205331796274,0.034178205331796274,14.662507454467788
0025.png,0.05,0.0018981163118439628,0.0018981163118439628,27.21677178608248
0025.png,0.1,0.006817308850951682,0.006817308850951682,21.663870303046625
0025.png,0.2,0.03232052161307695,0.03232052161307695,14.905216388673459
0026.png,0.05,0.003372941327289901,0.003372941327289901,24.719912133485565
0026.png,0.1,0.007490942356438209,0.007490942356438209,21.254635448562524
0026.png,0.2,0.02721337200114352,0.02721337200114352,15.652176415808967
0027.png,0.05,0.002529748928033676,0.002529748928033676,25.969225794488082
0027.png,0.1,0.007293752277893751,0.007293752277893751,21.370489909770967
0027.png,0.2,0.031317076920859915,0.031317076920859915,15.04218780981406
0028.png,0.05,0.0025590844727948767,0.0025590844727948767,25.919153782538093
0028.png,0.1,0.007345983708741666,0.007345983708741666,21.339500391286833
0028.png,0.2,0.031521624700154974,0.031521624700154974,15.013914060261492
0029.png,0.05,0.0019878848818161484,0.0019878848818161484,27.01608769153793
0029.png,0.1,0.00602264715963971,0.00602264715963971,22.20212579484261
0029.png,0.2,0.027569435447615608,0.027569435447615608,15.595721270569257
0030.png,0.05,0.0023434985150960486,0.0023434985150960486,26.301353173243967
0030.png,0.1,0.0071044980604338835,0.0071044980604338835,21.48466599972151
0030.png,0.2,0.03106448278273951,0.03106448278273951,15.07735872904629
0031.png,0.05,0.0014382066354808568,0.0014382066354808568,28.421787118655054
0031.png,0.1,0.0066111764310190935,0.0066111764310190935,21.797212527625554
0031.png,0.2,0.033383223700858874,0.033383223700858874,14.764717273364042
0032.png,0.05,0.001370399146070313,0.001370399146070313,28.631529206621217
0032.png,0.1,0.0030076310018236413,0.0030076310018236413,25.21775447236639
0032.png,0.2,0.01895276899711666,0.01895276899711666,17.22327330692376
0033.png,0.05,0.0034562028524795425,0.0034562028524795425,24.614007757049713
0033.png,0.1,0.008215919378170549,0.008215919378170549,20.85343831069425
0033.png,0.2,0.02964613270954623,0.02964613270954623,15.280319516233634
0034.png,0.05,0.0012554256018156417,0.0012554256018156417,29.01209019054842
0034.png,0.1,0.006701954826367928,0.006701954826367928,21.737985037948768
0034.png,0.2,0.03568422341399265,0.03568422341399265,14.475237502363958
0035.png,0.05,0.0037821048323431893,0.0037821048323431893,24.22266437554122
0035.png,0.1,0.008992151779261263,0.008992151779261263,20.461363712212638
0035.png,0.2,0.0334336503466385,0.0334336503466385,14.758162037587736
0036.png,0.05,0.002651886869014809,0.002651886869014809,25.764450071189195
0036.png,0.1,0.007833829707890318,0.007833829707890318,21.06025873396703
0036.png,0.2,0.0347254416883645,0.0347254416883645,14.593522215702034
0037.png,0.05,0.0021533131616931467,0.0021533131616931467,26.66892805055719
0037.png,0.1,0.00709192103570969,0.00709192103570969,21.49236108652968
0037.png,0.2,0.03480526014025033,0.03480526014025033,14.58355115902531
0038.png,0.05,0.0009867521190484764,0.0009867521190484764,30.057919322847937
0038.png,0.1,0.005778094354648108,0.005778094354648108,22.382153705277446
0038.png,0.2,0.02940996663092412,0.02940996663092412,15.315054682509635
0039.png,0.05,0.0022434942330411727,0.0022434942330411727,26.490750424944526
0039.png,0.1,0.007412666682964826,0.007412666682964826,21.300255278701144
0039.png,0.2,0.03649004365920924,0.03649004365920924,14.378256170151184
0040.png,0.05,0.0017402031134160373,0.0017402031134160373,27.594000586785107
0040.png,0.1,0.006581436899473424,0.006581436899473424,21.81679278211947
0040.png,0.2,0.029978707934440782,0.029978707934440782,15.231870889338632
0041.png,0.05,0.0018484553434867407,0.0018484553434867407,27.331910370094874
0041.png,0.1,0.006728533156307193,0.006728533156307193,21.720796031690778
0041.png,0.2,0.031761485080769356,0.031761485080769356,14.980991993398804
0042.png,0.05,0.0014634785335480402,0.0014634785335480402,28.346136434590964
0042.png,0.1,0.006816803643599036,0.006816803643599036,21.6641921557021
0042.png,0.2,0.03388812864706073,0.03388812864706073,14.699524128886344
0043.png,0.05,0.0024047484004756856,0.0024047484004756856,26.189303554652096
0043.png,0.1,0.006581104261646651,0.006581104261646651,21.817012288020198
0043.png,0.2,0.029675016413725278,0.029675016413725278,15.276090321580941
0044.png,0.05,0.0018057562821634867,0.0018057562821634867,27.433408655696002
0044.png,0.1,0.00698122561644682,0.00698122561644682,21.560683264120918
0044.png,0.2,0.03371607047156533,0.03371607047156533,14.721630470947535
0045.png,0.05,0.001146962765115711,0.001146962765115711,29.40450680762432
0045.png,0.1,0.005831705240961075,0.005831705240961075,22.342044352146328
0045.png,0.2,0.030453109490097247,0.030453109490097247,15.163683560543014
0046.png,0.05,0.002803118909326422,0.002803118909326422,25.523584789186412
0046.png,0.1,0.00777187235376421,0.00777187235376421,21.094743409223685
0046.png,0.2,0.033501969045305724,0.033501969045305724,14.749296669816552
0047.png,0.05,0.0011267587074312345,0.0011267587074312345,29.481690770779526
0047.png,0.1,0.006538500508644844,0.006538500508644844,21.845218381418768
0047.png,0.2,0.036394468298435824,0.036394468298435824,14.389646210220581
0048.png,0.05,0.0030658577245716236,0.0030658577245716236,25.134480030586644
0048.png,0.1,0.007897784283417236,0.007897784283417236,21.024947325646515
0048.png,0.2,0.03173149888685947,0.03173149888685947,14.985094128375863
0049.png,0.05,0.0025661603997348304,0.0025661603997348304,25.907162012180688
0049.png,0.1,0.007732664139544937,0.007732664139544937,21.116708525543928
0049.png,0.2,0.03468261064884433,0.03468261064884433,14.598882195085563
0050.png,0.05,0.0012513635321092418,0.0012513635321092418,29.026165056110926
0050.png,0.1,0.005627685454983143,0.005627685454983143,22.496701843330023
0050.png,0.2,0.029915615730988058,0.029915615730988058,15.241020539678985
0051.png,0.05,0.00265832791875291,0.00265832791875291,25.753914475765733
0051.png,0.1,0.006898411700523431,0.006898411700523431,21.6125089029191
